#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g14_Re     g14_Im
5.8747783 -0.0217171 -0.2472394  0.0171908 -0.0044744 -0.0000454 -0.0000614
5.9376101 -0.0223868 -0.2448635  0.0166079 -0.0043964 -0.0000371 -0.0000620
6.0004420 -0.0221149 -0.2437114  0.0165116 -0.0043666 -0.0000466 -0.0000546
6.0632738 -0.0219153 -0.2424664  0.0162831 -0.0044544 -0.0000426 -0.0000492
6.1261057 -0.0205587 -0.2408372  0.0160600 -0.0043972 -0.0000381 -0.0000544
6.1889375 -0.0215439 -0.2395328  0.0161427 -0.0040546 -0.0000372 -0.0000533
6.2517694 -0.0220933 -0.2370286  0.0157144 -0.0041929 -0.0000444 -0.0000507
6.3146012 -0.0225553 -0.2353840  0.0153215 -0.0042306 -0.0000383 -0.0000456
6.3774331 -0.0221517 -0.2345472  0.0151775 -0.0041403 -0.0000299 -0.0000505
6.4402649 -0.0216087 -0.2334248  0.0150350 -0.0039335 -0.0000412 -0.0000481
6.5030968 -0.0208657 -0.2313612  0.0148196 -0.0040128 -0.0000341 -0.0000429
6.5659286 -0.0200324 -0.2302257  0.0146578 -0.0039347 -0.0000308 -0.0000373
6.6287605 -0.0207823 -0.2295650  0.0145120 -0.0038259 -0.0000334 -0.0000375
6.6915924 -0.0221313 -0.2283168  0.0140969 -0.0037073 -0.0000288 -0.0000321
6.7544242 -0.0214913 -0.2261670  0.0141109 -0.0034127 -0.0000283 -0.0000396
6.8172561 -0.0202847 -0.2242837  0.0138562 -0.0032215 -0.0000239 -0.0000438
6.8800879 -0.0204372 -0.2231655  0.0135834 -0.0035961 -0.0000235 -0.0000304
6.9429198 -0.0196752 -0.2225806  0.0133287 -0.0034509 -0.0000252 -0.0000360
7.0057516 -0.0204965 -0.2210815  0.0134065 -0.0033086 -0.0000189 -0.0000400
7.0685835 -0.0211845 -0.2199314  0.0134037 -0.0034984 -0.0000193 -0.0000362
7.1314153 -0.0201013 -0.2177292  0.0129585 -0.0034791 -0.0000235 -0.0000279
7.1942472 -0.0202339 -0.2160319  0.0128056 -0.0032875 -0.0000147 -0.0000330
7.2570790 -0.0200750 -0.2163110  0.0126991 -0.0033103 -0.0000181 -0.0000314
7.3199109 -0.0192343 -0.2138085  0.0124626 -0.0032870 -0.0000301 -0.0000358
7.3827427 -0.0195917 -0.2127632  0.0121085 -0.0031965 -0.0000175 -0.0000206
7.4455746 -0.0203575 -0.2109416  0.0123015 -0.0028082 -0.0000182 -0.0000282
7.5084064 -0.0202132 -0.2100842  0.0121177 -0.0027847 -0.0000118 -0.0000275
7.5712383 -0.0194646 -0.2095660  0.0119898 -0.0028243 -0.0000143 -0.0000239
7.6340701 -0.0194062 -0.2074275  0.0118437 -0.0025572 -0.0000083 -0.0000289
7.6969020 -0.0197011 -0.2069792  0.0116703 -0.0030911 -0.0000115 -0.0000235
7.7597339 -0.0194607 -0.2052122  0.0114477 -0.0028499 -0.0000193 -0.0000211
7.8225657 -0.0194515 -0.2044598  0.0113206 -0.0027872 -0.0000124 -0.0000250
7.8853976 -0.0202621 -0.2031880  0.0112147 -0.0027651 -0.0000189 -0.0000207
7.9482294 -0.0192465 -0.2022394  0.0111626 -0.0029540 -0.0000185 -0.0000232
8.0110613 -0.0194907 -0.2019736  0.0108200 -0.0025811 -0.0000122 -0.0000254
8.0738931 -0.0189287 -0.2000476  0.0108359 -0.0027320 -0.0000136 -0.0000261
8.1367250 -0.0182047 -0.1991692  0.0107812 -0.0025581 -0.0000197 -0.0000190
8.1995568 -0.0180710 -0.1971670  0.0105214 -0.0026067 -0.0000085 -0.0000268
8.2623887 -0.0187401 -0.1964012  0.0104493 -0.0024838 -0.0000156 -0.0000226
8.3252205 -0.0187797 -0.1964397  0.0102492 -0.0024537 -0.0000163 -0.0000208
8.3880524 -0.0173160 -0.1949545  0.0100073 -0.0023093 -0.0000124 -0.0000147
8.4508842 -0.0171524 -0.1935962  0.0101692 -0.0026088 -0.0000133 -0.0000170
8.5137161 -0.0186600 -0.1920870  0.0102030 -0.0022861 -0.0000021 -0.0000209
8.5765479 -0.0179501 -0.1915771  0.0097140 -0.0024977 -0.0000052 -0.0000186
8.6393798 -0.0184863 -0.1896924  0.0098287 -0.0023537 -0.0000102 -0.0000236
8.7022117 -0.0181075 -0.1893762  0.0097382 -0.0024485 -0.0000023 -0.0000190
8.7650435 -0.0178017 -0.1889441  0.0095864 -0.0021073 -0.0000107 -0.0000240
8.8278754 -0.0183883 -0.1881040  0.0094581 -0.0022658 -0.0000141 -0.0000244
8.8907072 -0.0171916 -0.1862865  0.0094576 -0.0022255 -0.0000085 -0.0000233
8.9535391 -0.0175635 -0.1846491  0.0092348 -0.0023748 -0.0000136 -0.0000165
9.0163709 -0.0177465 -0.1850272  0.0091485 -0.0023418 -0.0000092 -0.0000182
9.0792028 -0.0167166 -0.1831060  0.0092255 -0.0023656 -0.0000176 -0.0000030
9.1420346 -0.0169343 -0.1827849  0.0090656 -0.0021570 -0.0000122 -0.0000137
9.2048665 -0.0167394 -0.1817396  0.0089528 -0.0020567 -0.0000075 -0.0000206
9.2676983 -0.0163309 -0.1803592  0.0088454 -0.0021120 -0.0000110 -0.0000304
9.3305302 -0.0163281 -0.1795125  0.0088787 -0.0019226 -0.0000105 -0.0000262
9.3933620 -0.0171116 -0.1794555  0.0086574 -0.0020714 -0.0000145 -0.0000095
9.4561939 -0.0167979 -0.1782907  0.0085567 -0.0018404 -0.0000039 -0.0000102
9.5190257 -0.0169431 -0.1775965  0.0083929 -0.0018633 -0.0000044 -0.0000030
9.5818576 -0.0169105 -0.1770242  0.0082663 -0.0017550 -0.0000040 -0.0000058
9.6446894 -0.0162682 -0.1761589  0.0082756 -0.0015979 -0.0000075 -0.0000118
9.7075213 -0.0159768 -0.1751008  0.0082293 -0.0019289 -0.0000114 -0.0000102
9.7703532 -0.0155336 -0.1735153  0.0080741 -0.0018313 -0.0000090 -0.0000056
9.8331850 -0.0151052 -0.1729421  0.0078765 -0.0017226 -0.0000128 -0.0000143
9.8960169 -0.0154014 -0.1725118  0.0079158 -0.0018843 -0.0000060 -0.0000160
9.9588487 -0.0147610 -0.1718815  0.0078508 -0.0017402 -0.0000015 -0.0000126
10.0216806 -0.0152765 -0.1703802  0.0076165 -0.0017108 -0.0000029 -0.0000071
10.0845124 -0.0154349 -0.1698834  0.0075845 -0.0017058 -0.0000102 -0.0000149
10.1473443 -0.0151903 -0.1693300  0.0072498 -0.0017264 -0.0000071 -0.0000110
10.2101761 -0.0147655 -0.1686784  0.0073459 -0.0018464  0.0000006 -0.0000023
10.2730080 -0.0157291 -0.1671547  0.0075085 -0.0018423 -0.0000119 -0.0000096
10.3358398 -0.0152593 -0.1665958  0.0073506 -0.0018114 -0.0000081 -0.0000033
10.3986717 -0.0148083 -0.1653353  0.0073855 -0.0018440 -0.0000094 -0.0000073
10.4615035 -0.0149215 -0.1646078  0.0072766 -0.0015648 -0.0000118 -0.0000077
10.5243354 -0.0146471 -0.1645007  0.0074974 -0.0016774 -0.0000046 -0.0000100
10.5871672 -0.0143373 -0.1634201  0.0071474 -0.0015044 -0.0000027 -0.0000058
10.6499991 -0.0144633 -0.1627156  0.0068993 -0.0015859 -0.0000103 -0.0000056
10.7128309 -0.0143964 -0.1620493  0.0070321 -0.0012787 -0.0000029 -0.0000142
10.7756628 -0.0139648 -0.1621122  0.0066214 -0.0015852 -0.0000010  0.0000001
10.8384947 -0.0140934 -0.1611975  0.0066232 -0.0018037 -0.0000023 -0.0000029
10.9013265 -0.0148200 -0.1600133  0.0066874 -0.0018219  0.0000005 -0.0000091
10.9641584 -0.0138578 -0.1597179  0.0067334 -0.0013961 -0.0000060 -0.0000089
11.0269902 -0.0142314 -0.1578751  0.0065066 -0.0013902  0.0000040 -0.0000068
11.0898221 -0.0140627 -0.1571133  0.0065279 -0.0014696 -0.0000028 -0.0000042
11.1526539 -0.0138608 -0.1568367  0.0063600 -0.0013133 -0.0000068 -0.0000090
11.2154858 -0.0135501 -0.1553634  0.0063954 -0.0014675 -0.0000043 -0.0000109
11.2783176 -0.0140235 -0.1558418  0.0065866 -0.0011859 -0.0000016 -0.0000010
11.3411495 -0.0137706 -0.1549714  0.0065749 -0.0013667 -0.0000053 -0.0000034
11.4039813 -0.0132031 -0.1540477  0.0064215 -0.0012508 -0.0000055 -0.0000101
11.4668132 -0.0137156 -0.1526777  0.0060823 -0.0012152 -0.0000064 -0.0000075
11.5296450 -0.0129985 -0.1532333  0.0062098 -0.0015338 -0.0000016 -0.0000093
11.5924769 -0.0127467 -0.1517363  0.0062887 -0.0011655 -0.0000003 -0.0000114
