model	E_kin	U	eb1-g1_1	eb2-g1_1	eb3-g1_1	eb4-g1_1	eb5-g1_1	eb6-g1_1	eb7-g1_1	eb8-g1_1	mu	t	tb1-g1_1	tb2-g1_1	tb3-g1_1	tb4-g1_1	tb5-g1_1	tb6-g1_1	tb7-g1_1	tb8-g1_1	ave_mu	ave_t	ave_U_1	ave_eb1-g1_1	ave_eb2-g1_1	ave_eb3-g1_1	ave_eb4-g1_1	ave_eb5-g1_1	ave_eb6-g1_1	ave_eb7-g1_1	ave_eb8-g1_1	ave_mu_1	ave_t_1	ave_tb1-g1_1	ave_tb2-g1_1	ave_tb3-g1_1	ave_tb4-g1_1	ave_tb5-g1_1	ave_tb6-g1_1	ave_tb7-g1_1	ave_tb8-g1_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time
4s_8b_1sb	-0.96754069	4	1.2346404	-0.37570917	1.9330844	-1.2275156	1.207463	-0.37627508	1.9156473	-1.229791	1.5918367	1	0.23396276	0.23850323	0.39304952	0.39608503	0.22171732	-0.23893547	0.40014696	0.39598285	1.0000221	-0.96754069	0.10233729	0.0095196755	1.9675747	0.017271434	1.9586165	0.027528391	1.9897756	0.046503895	1.9835326	0.99991931	-0.8216405	-0.24103476	-0.51980883	-0.32846745	-0.60253142	-0.47924245	0.24969931	-0.63696097	-0.32128295	-15.276181	R0:N12:S0:1	0.99991931	b8bd2d5	v2.4.7	Y	fixed_point	16	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:50
4s_8b_1sb	-0.96750837	4	1.2533332	-0.3498089	1.9118732	-1.1872023	1.2472512	-0.34931164	1.8926688	-1.1835632	1.5714286	1	0.22498045	0.23456678	0.39593893	0.39692767	0.21865633	-0.23410916	0.39865794	0.39677554	1.0000281	-0.96750837	0.10230869	0.0088130991	1.9684471	0.017941294	1.9578313	0.026195726	1.9901434	0.047746222	1.9832378	0.99991099	-0.82165783	-0.23191886	-0.51267384	-0.33461948	-0.6080065	-0.46792497	0.24519386	-0.64481389	-0.32411043	-14.913482	R0:N12:S0:1	0.99991099	b8bd2d5	v2.4.7	Y	fixed_point	7	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:52
4s_8b_1sb	-0.96746324	4	1.3011093	-0.32342607	1.8753687	-1.1411342	1.2856621	-0.32264746	1.8531799	-1.1381379	1.5510204	1	0.22017197	0.22990133	0.39478303	0.39735012	0.20806164	-0.22937155	0.4006565	0.39733868	1.0000349	-0.96746324	0.10226671	0.0082757683	1.9694911	0.018426615	1.9569341	0.023246634	1.9905018	0.050584086	1.9829639	0.999894	-0.82168048	-0.22489388	-0.50403123	-0.33888863	-0.61417074	-0.44116691	0.24073372	-0.66280036	-0.32671944	-14.539754	R0:N12:S0:1	0.999894	b8bd2d5	v2.4.7	Y	fixed_point	7	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:53
4s_8b_1sb	-0.96741205	4	1.3771901	-0.29675811	1.8335628	-1.0959468	1.3749577	-0.29608533	1.8091789	-1.0925501	1.5306122	1	0.21851771	0.22509249	0.39171327	0.39784323	0.20585773	-0.2245357	0.3977303	0.39780161	1.0000459	-0.96741205	0.10222351	0.0078378397	1.9705587	0.018811312	1.9560267	0.021127161	1.9908676	0.052552458	1.9826951	0.9998808	-0.82170443	-0.21914338	-0.49506104	-0.34214373	-0.62034618	-0.42180559	0.2361173	-0.67452996	-0.32927729	-14.166951	R0:N12:S0:1	0.9998808	b8bd2d5	v2.4.7	Y	fixed_point	7	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:55
4s_8b_1sb	-0.96735095	4	1.6785336	-0.26830322	1.695983	-1.0425864	1.6523385	-0.26836584	1.7014609	-1.0425954	1.5102041	1	0.22586108	0.21859957	0.3813815	0.39829001	0.19875042	-0.218637	0.39617864	0.39825165	1.0000587	-0.96735095	0.10216236	0.0069564248	1.9719878	0.019619913	1.9548201	0.015311804	1.9913061	0.058211038	1.9823797	0.99985177	-0.82173968	-0.20753845	-0.48279764	-0.34863738	-0.62844232	-0.36233586	0.23045586	-0.70750378	-0.33225427	-13.762064	R0:N12:S0:1	0.99985177	b8bd2d5	v2.4.7	Y	fixed_point	9	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:57
4s_8b_1sb	-0.96734464	4	1.6939459	-0.24099925	1.7019615	-0.99824922	1.7220948	-0.24094847	1.6935553	-0.99809879	1.4897959	1	0.23109265	0.21316037	0.37595272	0.39927474	0.20396245	-0.21312184	0.39131026	0.39927555	1.0000469	-0.96734464	0.10212475	0.0073043832	1.9731251	0.01923534	1.9537321	0.015421705	1.9916887	0.058231752	1.9820372	0.99980595	-0.82175047	-0.21265816	-0.47268265	-0.3451403	-0.63563178	-0.36416732	0.22529283	-0.70705611	-0.33538791	-13.391073	R0:N12:S0:1	0.99980595	b8bd2d5	v2.4.7	Y	fixed_point	9	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:59
4s_8b_1sb	-0.96734454	4	1.7021901	-0.21210783	1.7014622	-0.94742038	1.7071758	-0.21222708	1.7003907	-0.9477936	1.4693878	1	0.22931111	0.20610014	0.37372635	0.40028957	0.20082734	-0.20619161	0.38980584	0.40028162	1.0000247	-0.96734454	0.10206684	0.0072458326	1.9745837	0.019255041	1.9523432	0.015425444	1.9921602	0.058473207	1.9816194	0.99972353	-0.82176222	-0.21177391	-0.4593901	-0.34521957	-0.64465395	-0.36384097	0.21876324	-0.70824466	-0.33916238	-12.988843	R0:N12:S0:1	0.99972353	b8bd2d5	v2.4.7	Y	fixed_point	10	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@11:01
4s_8b_1sb	-0.96736714	4	1.6922632	-0.18227433	1.6941857	-0.89097023	1.6946896	-0.18234064	1.693954	-0.89128898	1.4489796	1	0.21353622	0.19753461	0.37834284	0.40107269	0.18297904	-0.19759438	0.3940863	0.40108185	0.99998059	-0.96736714	0.10197554	0.006402156	1.9763192	0.020073519	1.950696	0.013184761	1.9927296	0.061199231	1.9811254	0.99956756	-0.82177325	-0.19897439	-0.44304795	-0.3523381	-0.65511697	-0.33604975	0.21061031	-0.72398674	-0.34355886	-12.55767	R0:N12:S0:1	0.99956756	b8bd2d5	v2.4.7	Y	fixed_point	9	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@11:03
4s_8b_1sb	-0.96744355	4	1.6727373	-0.1516992	1.6695119	-0.82804973	1.6724775	-0.15162887	1.6694341	-0.82780738	1.4285714	1	0.16231851	0.18697354	0.39677271	0.40144747	0.18118516	-0.18690648	0.38850995	0.401456	0.99989866	-0.96744355	0.10182719	0.0037917644	1.9783993	0.022703484	1.9487227	0.013429302	1.9934121	0.061923461	1.9805443	0.9992684	-0.82177628	-0.15302918	-0.42260755	-0.37443453	-0.6673067	-0.3387016	0.20040281	-0.72723652	-0.34863933	-12.095056	R0:N12:S0:1	0.9992684	b8bd2d5	v2.4.7	Y	fixed_point	8	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@11:04
4s_8b_1sb	-0.96761156	4	1.6275327	-0.12187936	1.6262109	-0.76117004	1.6295763	-0.12192217	1.6260777	-0.76139253	1.4081633	1	0.14800386	0.17475743	0.39414422	0.40108364	0.16078868	-0.17480087	0.38914425	0.40109402	0.99973358	-0.96761156	0.10160261	0.0032851088	1.9807204	0.023318094	1.9465201	0.011205184	1.9941491	0.065857695	1.9799263	0.99875451	-0.8217608	-0.14227179	-0.39854224	-0.37903567	-0.68045056	-0.30873655	0.18875428	-0.74839304	-0.35392065	-11.620938	R0:N12:S0:1	0.99875451	b8bd2d5	v2.4.7	Y	fixed_point	6	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@11:06
