model	U	wc	method	eb1-g1_1	eb2-g1_1	eb3-g1_1	eb4-g1_1	tb1-g1_1	tb2-g1_1	tb3-g1_1	tb4-g1_1	eb1-g2_1	eb2-g2_1	eb3-g2_1	eb4-g2_1	tb1-g2_1	tb2-g2_1	tb3-g2_1	tb4-g2_1	mu	t	ave_mu	ave_t	sector_sb1	consistency_sb1	sector_sb2	consistency_sb2	Sub-bath 1 weight	Sub-bath 2 weight	opt_iterations	opt_time_ratio	distance	session_id	datetime
4s_4b_2sb	4.0	2.0	bobyqa	1.8065018484428774	-1.1798972817179383	-0.09200928341540963	-0.33627958886049947	0.6318561362760388	0.5277405360417042	0.13898117590465836	0.3608941259573036	-0.3362881791695845	1.8065083202896204	-1.1799197299960287	-0.09201138745367396	0.3608987040522559	0.6318577164687148	0.527738349272952	0.13898487259259637	1.4081632653061225	1.0	0.9993794296115713	-0.9661922190795523	R0:N10:S0:1	Y	R0:N10:S0:0.923/R0:N9:S1:0.0387/R0:N9:S-1:0.0387	N	0.500000	0.500000	305	0.063	1.219937527e-05	mu_sweep_20260220_095832	2026-02-20@10:03
4s_4b_2sb	4.0	2.0	bobyqa	1.8505305714519427	-1.268490515990671	-0.11994302645944563	-0.38432613192295934	0.6402432188676286	0.521471761096188	0.1530509475722176	0.3739545632866059	-0.3843309567839532	1.85053462907084	-1.2685073319648252	-0.11994334324108803	0.3739580278595299	0.6402442180792077	0.5214703407237223	0.15305199143634327	1.4285714285714286	1.0	1.0000576991056178	-0.9646082348982349	R0:N10:S0:1	Y	R0:N10:S0:1	Y	0.500000	0.500000	2388	0.311	4.140087305e-06	mu_sweep_20260220_095832	2026-02-20@10:04
4s_4b_2sb	4.0	2.0	bobyqa	1.8324138566703985	-1.2974923870264359	-0.14284712098084254	-0.41128023759283333	0.6406010575656282	0.5196183495337269	0.15721060413547466	0.3753845874060694	-0.41129794753095805	1.8324163627827914	-1.297523214607128	-0.14285292807456496	0.3753903305379658	0.6406018289741314	0.519612978193173	0.15721989148686946	1.4489795918367347	1.0	1.0000617943866636	-0.9646029365203012	R0:N10:S0:1	Y	R0:N10:S0:1	Y	0.500000	0.500000	731	0.217	3.778329944e-06	mu_sweep_20260220_095832	2026-02-20@10:04
4s_4b_2sb	4.0	2.0	bobyqa	1.812009281158101	-1.3158148353140036	-0.16410104909006984	-0.4327385793145601	0.6404699538879313	0.5192950483384953	0.1584639249267205	0.3748878010920551	-0.4327373072514232	1.8120094849598523	-1.3158138587636912	-0.16410042294784177	0.3748876963661964	0.6404699931504597	0.5192954074656367	0.15846300599841354	1.4693877551020407	1.0	1.0000630393650949	-0.9645968964441903	R0:N10:S0:1	Y	R0:N10:S0:1	Y	0.500000	0.500000	4158	0.468	3.859990435e-06	mu_sweep_20260220_095832	2026-02-20@10:04
4s_4b_2sb	4.0	2.0	bobyqa	1.7902812727151833	-1.325381656050873	-0.18298224761476944	-0.44836220644197944	0.6400384129326568	0.5205426381856407	0.15609108412470968	0.3730416209988891	-0.448362307660187	1.790280543186262	-1.3253783315358103	-0.1829830901697661	0.37304069007820206	0.6400382068445045	0.5205427139125578	0.15609199774953586	1.489795918367347	1.0	1.0000628525219688	-0.9645897000779983	R0:N10:S0:1	Y	R0:N10:S0:1	Y	0.500000	0.500000	1556	0.237	4.151733839e-06	mu_sweep_20260220_095832	2026-02-20@10:04
4s_4b_2sb	4.0	2.0	bobyqa	1.7678931536331164	-1.3287573292153136	-0.19881661123814684	-0.458550355326117	0.6394425070343014	0.5231416376762568	-0.14954735152697465	0.37053727227379196	-0.19883649172269482	1.7678963189625538	-1.3287952747924079	-0.45858386166934595	0.1495738032059486	0.6394434005061823	0.5231333757448777	0.3705407699686774	1.510204081632653	1.0	1.0000620559045397	-0.9645813769200147	R0:N10:S0:1	Y	R0:N10:S0:1	Y	0.500000	0.500000	2513	0.397	4.548132799e-06	mu_sweep_20260220_095832	2026-02-20@10:05
4s_4b_2sb	4.0	2.0	bobyqa	1.745176723764268	-1.3282863923415007	-0.21084957380562855	-0.46430188706188535	0.6387615744318736	0.526734825984496	-0.1383686666545901	0.3679780563356791	-0.4642958221460372	1.7451775976117057	-1.3282815124570948	-0.21084468581886523	0.36797800885617443	0.6387616844145833	0.5267363371295765	0.13836272324706117	1.530612244897959	1.0	1.000061590646291	-0.9645720127081228	R0:N10:S0:1	Y	R0:N10:S0:1	Y	0.500000	0.500000	5838	0.604	5.009477947e-06	mu_sweep_20260220_095832	2026-02-20@10:05
4s_4b_2sb	4.0	2.0	bobyqa	1.7223273571808668	-1.3255843233741231	-0.21762615272375044	-0.46660277666242317	0.6380371367875368	0.5310046908209463	-0.12205304381235335	0.36564288037215326	-0.46674256730935904	1.7223345198798776	-1.3257062897101453	-0.21776989237461664	0.36564397939791465	0.6380393314051853	0.5309732318540581	0.12220784592330856	1.5510204081632653	1.0	1.0000599257361742	-0.9645621873210235	R0:N10:S0:1	Y	R0:N10:S0:1	Y	0.500000	0.500000	4486	0.516	5.523898509e-06	mu_sweep_20260220_095832	2026-02-20@10:05
4s_4b_2sb	4.0	2.0	bobyqa	1.6994685698141547	-1.3223800793451685	-0.2179173070375022	-0.4675363159526761	0.6373009065920314	0.5354993355831021	-0.10141177661403297	0.3633550167213899	-0.4675467368886373	1.699466392303508	-1.3223714394636374	-0.21795426123412895	0.36334692287073855	0.6373003264742177	0.5354987484236218	-0.10143908006550235	1.5714285714285714	1.0	1.0000583977095487	-0.9645520797042334	R0:N10:S0:1	Y	R0:N10:S0:1	Y	0.500000	0.500000	642	0.168	6.092795257e-06	mu_sweep_20260220_095832	2026-02-20@10:05
4s_4b_2sb	4.0	2.0	bobyqa	1.676567597466812	-1.3189715662275332	-0.20870059178332834	-0.468296099285794	0.6365514883352815	0.5400785253394002	-0.07722384830141754	0.36040864989321475	-0.4687037125891027	1.6765893648905563	-1.319323079985051	-0.20960527143124552	0.3604369207272861	0.6365581567876383	0.5399859879189881	0.0778384260596055	1.5918367346938775	1.0	1.0000567346489595	-0.9645414410071652	R0:N10:S0:1	Y	R0:N10:S0:1	Y	0.500000	0.500000	931	0.167	6.725139748e-06	mu_sweep_20260220_095832	2026-02-20@10:05
