E0_1	E_kin	GS_consistency	U	U_1_ave	eb1-g1_1	eb1-g1_1_ave	eb2-g1_1	eb2-g1_1_ave	eb3-g1_1	eb3-g1_1_ave	eb4-g1_1	eb4-g1_1_ave	eb5-g1_1	eb5-g1_1_ave	eb6-g1_1	eb6-g1_1_ave	eb7-g1_1	eb7-g1_1_ave	eb8-g1_1	eb8-g1_1_ave	githash	model	mu	mu_1_ave	ave_mu	n_1	script	sector_1	t	t_1_ave	t_ave	tb1-g1_1	tb1-g1_1_ave	tb2-g1_1	tb2-g1_1_ave	tb3-g1_1	tb3-g1_1_ave	tb4-g1_1	tb4-g1_1_ave	tb5-g1_1	tb5-g1_1_ave	tb6-g1_1	tb6-g1_1_ave	tb7-g1_1	tb7-g1_1_ave	tb8-g1_1	tb8-g1_1_ave	time	version
-11.35073192	-3.951216494	Y	4	0.09808782389	-0.7175599604	1.927640209	-0.1084087684	1.959793571	0.1787826798	0.009841393781	1.189972353	0.02936622143	1.190102758	0.09711508808	-0.717649665	1.964978519	0.1788308308	0.1455700716	-0.1084473716	1.970010787	c985f85	4s_8b_1sb	1.379411765	0.9739210345	0.9669268122	0.9739210343	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.8154538549	-0.9878041235	0.3922035815	-0.7654512352	-0.1807584719	0.5163767421	0.1235620503	-0.220183512	0.3845490246	-0.4153572483	-0.3845607009	0.8798149487	0.3922023899	-0.4266148493	0.1235817509	-0.849558694	0.1807809357	-0.2892050079	2025-09-02@15:39	v2.10.6
-12.43831371	-3.868699787	Y	4	0.1017149655	-0.706600255	1.945453159	-0.09854979166	1.983098505	1.595791485	0.02669309517	6.298972874	3.206378348e-17	1.80195803	0.07434286677	-1.077120601	1.985503291	-0.0469355477	1.998120721	-0.2753519005	1.989865308	c985f85	4s_8b_1sb	1.391176471	0.9992307635	0.9776698292	0.9992307634	model_1D_4s_8b.py	R0:N14:S0:1	1	-0.821603792	-0.9671749468	0.4004774233	-0.6875117097	-0.1642243243	0.3738818417	0.4144814868	-0.4054089727	3.596907546e-08	-1.439985371e-08	-0.4450605411	0.7988606732	0.3755658824	-0.3016010942	0.09710312827	-0.1065224497	0.245608576	-0.2489072693	2025-09-02@10:57	v2.10.6
-12.82999295	-3.868833893	Y	4	0.1018812598	-0.7627407988	1.947009041	-0.1220112072	1.981021992	1.641223222	0.02653920861	5.601856825	1.649034486e-16	1.800058314	0.07402114433	-1.116711507	1.985810404	-0.06176576175	1.998052273	-0.299565464	1.989642011	c985f85	4s_8b_1sb	1.408823529	0.9994759814	0.9999562511	0.9994759814	model_1D_4s_8b.py	R0:N14:S0:1	1	-0.8216758982	-0.9672084732	0.4014522405	-0.6782665701	-0.1749275085	0.3964937178	0.4219709589	-0.4046564488	7.463140996e-08	-3.262720389e-08	-0.4468234762	0.7975277699	0.3742625899	-0.2985194722	0.09904083453	-0.1085411196	0.2494771122	-0.2518446512	2025-09-02@10:44	v2.10.6
-13.24262613	-3.869055622	Y	4	0.1020096087	-0.8210692221	1.948734252	-0.1479575143	1.978886731	1.675942686	0.02646586234	4.848146322	2.745486553e-19	1.794961383	0.07378568093	-1.157452328	1.986142796	-0.0789488546	1.99793693	-0.3263066134	1.989430165	c985f85	4s_8b_1sb	1.426470588	0.9996543957	1.000016743	0.9996543956	model_1D_4s_8b.py	R0:N14:S0:1	1	-0.8217157664	-0.9672639055	0.4017331032	-0.6677400812	-0.1856473768	0.4185097365	0.4285848651	-0.4044172533	2.737456595e-09	-1.329472854e-09	-0.4483097278	0.7965696602	0.3724768336	-0.2951168123	0.1021322228	-0.111787815	0.2532567205	-0.2545864275	2025-09-02@10:30	v2.10.6
-13.65409898	-3.869211149	Y	4	0.1020974681	-0.8769313644	1.950394238	-0.1746616213	1.976940445	1.696708503	0.02645554661	4.113460104	6.414233777e-16	1.78628968	0.07362764369	-1.196563612	1.986463785	-0.09800374474	1.997789298	-0.3543425333	1.989255194	c985f85	4s_8b_1sb	1.444117647	0.9997684624	1.000046664	0.9997684623	model_1D_4s_8b.py	R0:N14:S0:1	1	-0.8217292786	-0.9673027873	0.401444546	-0.6573676511	-0.1952078188	0.4376417596	0.4337791652	-0.4045560789	-1.177544914e-07	6.413710225e-08	-0.4494220971	0.7959357425	0.3704311439	-0.2917705123	0.1059254638	-0.1157784054	0.2565458839	-0.2568270504	2025-09-02@10:17	v2.10.6
-14.07213209	-3.869323144	Y	4	0.1021566069	-0.9316786689	1.951970686	-0.2029253515	1.975162154	1.705675048	0.02648220016	3.640132527	1.28655816e-17	1.773152836	0.07352646331	-1.232734014	1.986737444	-0.1194460753	1.997628879	-0.3834647108	1.989139289	c985f85	4s_8b_1sb	1.463095238	0.9998382212	1.000069611	0.9998382211	model_1D_4s_8b.py	R0:N14:S0:1	1	-0.8217277761	-0.9673307859	0.4007320215	-0.6473011474	-0.2037954386	0.4544381394	0.437841978	-0.4049055034	1.536373389e-08	-9.068458565e-09	-0.4501557036	0.7955328779	0.3684336887	-0.2888750165	0.1098977662	-0.1199527091	0.2589995519	-0.2583208731	2025-09-02@09:43	v2.10.6
-14.33717713	-3.869379382	Y	4	0.1021828104	-0.9660057286	1.952915168	-0.2218384353	1.974120742	1.706047498	0.02650908414	3.596082404	9.421391408e-16	1.762162522	0.07348643516	-1.252434173	1.986854857	-0.1341189568	1.997540382	-0.4015291023	1.989110496	c985f85	4s_8b_1sb	1.476190476	0.999865709	1.000073883	0.999865709	model_1D_4s_8b.py	R0:N14:S0:1	1	-0.8217230927	-0.9673448454	0.4001099793	-0.6411685477	-0.2087662848	0.4639995845	0.4399208501	-0.4051755865	-1.307113989e-07	7.75917947e-08	-0.450403927	0.7953716846	0.3674698942	-0.2876221754	0.1120354437	-0.122194763	0.2598516411	-0.2587169313	2025-09-02@09:39	v2.10.6
-14.80151809	-3.869459525	Y	4	0.1022137829	-1.027008734	1.954480446	-0.2580140012	1.972423493	1.697752744	0.02656265861	3.129075964	6.688727321e-17	1.736944924	0.07344767557	-1.278036849	1.986882803	-0.161626633	1.997470675	-0.4301872048	1.98915872	c985f85	4s_8b_1sb	1.502380952	0.9998933824	1.000080098	0.9998933823	model_1D_4s_8b.py	R0:N14:S0:1	1	-0.8217133178	-0.9673648812	0.3987527042	-0.6308337738	-0.2167841811	0.4791842627	0.4428408771	-0.4056620515	-3.190526138e-08	2.063016133e-08	-0.4504290836	0.7952011482	0.3670541703	-0.2873308741	0.113708642	-0.1239449771	0.2595573455	-0.2581951332	2025-09-02@09:30	v2.10.6
-15.00084102	-3.8695164	Y	4	0.1022193277	-1.054214393	1.955123133	-0.2754393036	1.971732477	1.689695617	0.02659529386	2.912425222	4.712993903e-16	1.722261695	0.07348229676	-1.28419887	1.98678955	-0.1740232839	1.997508309	-0.440215177	1.989220323	c985f85	4s_8b_1sb	1.515476191	0.9998871545	1.000076344	0.9998871545	model_1D_4s_8b.py	R0:N14:S0:1	1	-0.8217076345	-0.9673790999	0.3980475534	-0.6265226367	-0.2200112912	0.4852248703	0.4438230558	-0.4059256354	8.109192364e-08	-5.469607979e-08	-0.4502227955	0.795361509	0.367679141	-0.2883387706	0.1128292256	-0.1230258423	0.2585406518	-0.2574584476	2025-09-02@09:24	v2.10.6
-14.34773612	-3.869958843	Y	4	0.1022174486	0.4588063556	0.0004308896588	-1.114337787	1.956348668	1.703619072	0.02626365097	-0.3102673429	1.970104921	1.703800787	0.07181194493	-1.114392516	1.982803627	0.4602381455	0.002427763131	-0.310274727	1.990628626	c985f85	4s_8b_1sb	1.541666667	0.9997949773	1.000018477	0.9997949773	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.8216833741	-0.9674897109	0.03434154459	-0.04958951782	-0.397262519	0.6180854517	0.4466428668	-0.4035551742	0.2268398462	-0.4986625185	-0.4466471975	0.7864907074	0.3972665822	-0.3281128636	-0.0344733818	0.1323559672	0.2268463088	-0.2386356294	2025-09-02@09:06	v2.10.6
