#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g14_Re     g14_Im     
 7.2570790 -0.0000890 -0.2089609  0.0153856 -0.0000037  0.0000077 -0.0000402
 7.3199109 -0.0000457 -0.2079379  0.0151676 -0.0000085  0.0000064 -0.0000394
 7.3827427  0.0000031 -0.2069311  0.0149513 -0.0000129  0.0000047 -0.0000389
 7.4455746  0.0000531 -0.2059391  0.0147372 -0.0000165  0.0000027 -0.0000384
 7.5084064  0.0000996 -0.2049593  0.0145261 -0.0000188  0.0000006 -0.0000377
 7.5712383  0.0001394 -0.2039884  0.0143184 -0.0000195 -0.0000014 -0.0000368
 7.6340701  0.0001688 -0.2030234  0.0141149 -0.0000185 -0.0000032 -0.0000354
 7.6969020  0.0001858 -0.2020612  0.0139161 -0.0000156 -0.0000045 -0.0000336
 7.7597339  0.0001891 -0.2010987  0.0137227 -0.0000107 -0.0000054 -0.0000313
 7.8225657  0.0001796 -0.2001336  0.0135349 -0.0000040 -0.0000056 -0.0000287
 7.8853976  0.0001586 -0.1991636  0.0133530  0.0000041 -0.0000052 -0.0000259
 7.9482294  0.0001295 -0.1981881  0.0131769  0.0000133 -0.0000042 -0.0000236
 8.0110613  0.0000955 -0.1972073  0.0130070  0.0000233 -0.0000025 -0.0000207
 8.0738931  0.0000607 -0.1962224  0.0128427  0.0000333 -0.0000004 -0.0000182
 8.1367250  0.0000292 -0.1952350  0.0126837  0.0000430  0.0000020 -0.0000161
 8.1995568  0.0000050 -0.1942488  0.0125295  0.0000516  0.0000046 -0.0000147
 8.2623887 -0.0000093 -0.1932668  0.0123794  0.0000587  0.0000071 -0.0000140
 8.3252205 -0.0000113 -0.1922928  0.0122326  0.0000637  0.0000093 -0.0000142
 8.3880524 -0.0000006 -0.1913303  0.0120888  0.0000665  0.0000110 -0.0000148
 8.4508842  0.0000224 -0.1903830  0.0119467  0.0000669  0.0000120 -0.0000165
 8.5137161  0.0000560 -0.1894532  0.0118061  0.0000648  0.0000122 -0.0000186
 8.5765479  0.0000971 -0.1885431  0.0116662  0.0000604  0.0000114 -0.0000209
 8.6393798  0.0001428 -0.1876533  0.0115268  0.0000536  0.0000098 -0.0000233
 8.7022117  0.0001887 -0.1867832  0.0113875  0.0000450  0.0000074 -0.0000252
 8.7650435  0.0002312 -0.1859315  0.0112482  0.0000350  0.0000042 -0.0000266
 8.8278754  0.0002665 -0.1850960  0.0111088  0.0000242  0.0000007 -0.0000273
 8.8907072  0.0002914 -0.1842729  0.0109697  0.0000130 -0.0000031 -0.0000270
 8.9535391  0.0003040 -0.1834583  0.0108311  0.0000017 -0.0000069 -0.0000259
 9.0163709  0.0003033 -0.1826487  0.0106932 -0.0000089 -0.0000105 -0.0000238
 9.0792028  0.0002891 -0.1818398  0.0105568 -0.0000185 -0.0000137 -0.0000208
 9.1420346  0.0002631 -0.1810279  0.0104221 -0.0000266 -0.0000161 -0.0000172
 9.2048665  0.0002269 -0.1802095  0.0102897 -0.0000331 -0.0000177 -0.0000130
 9.2676983  0.0001839 -0.1793830  0.0101600 -0.0000376 -0.0000182 -0.0000086
 9.3305302  0.0001373 -0.1785466  0.0100334 -0.0000401 -0.0000177 -0.0000041
 9.3933620  0.0000913 -0.1777007  0.0099102 -0.0000406 -0.0000161 -0.0000000
 9.4561939  0.0000497 -0.1768458  0.0097906 -0.0000394 -0.0000136  0.0000036
 9.5190257  0.0000156 -0.1759841  0.0096745 -0.0000364 -0.0000101  0.0000063
 9.5818576 -0.0000084 -0.1751179  0.0095623 -0.0000321 -0.0000061  0.0000082
